qid,pid,score
1108939,2662003,-8.047189562170502
1108939,6761383,-8.047189562170502
1108939,6761383,-8.047189562170502
1108939,6761383,-8.047189562170502
1108939,3678010,-8.047189562170502
1108939,5415258,-8.958797346140274
1108939,1139027,-8.958797346140274
1108939,4031161,-8.958797346140274
1108939,4840638,-8.958797346140274
1108939,3658050,-8.958797346140274
1108939,3036707,-9.704060527839234
1108939,6356913,-9.704060527839234
1108939,2555774,-9.721165995742172
1108939,313391,-9.729550745276567
1108939,2787846,-9.729550745276567
1108939,794128,-9.729550745276567
1108939,6849327,-9.729550745276567
1108939,6320748,-9.729550745276567
1108939,3003133,-9.729550745276567
1108939,5278872,-9.729550745276567
1108939,4434119,-9.729550745276567
1108939,5128160,-9.729550745276567
1108939,1880291,-9.729550745276567
1108939,7006872,-9.729550745276567
1108939,5594376,-9.729550745276567
1108939,1733656,-9.729550745276567
1108939,6104684,-9.729550745276567
1108939,2171098,-9.729550745276567
1108939,893286,-9.729550745276567
1108939,4036648,-9.729550745276567
1108939,5836455,-9.729550745276567
1108939,6587084,-9.729550745276567
1108939,8224799,-9.729550745276567
1108939,8224803,-9.729550745276567
1108939,841675,-9.729550745276567
1108939,7121296,-10.197716894763797
1108939,1707951,-10.292975706121151
1108939,2490152,-10.292975706121151
1108939,6695217,-10.292975706121151
1108939,4417351,-10.292975706121151
1108939,3879586,-10.292975706121151
1108939,1773943,-10.292975706121151
1108939,7518536,-10.39720770839918
1108939,1456372,-10.39720770839918
1108939,643305,-10.39720770839918
1108939,2212058,-10.39720770839918
1108939,313387,-10.39720770839918
1108939,3174932,-10.39720770839918
1108939,3319374,-10.39720770839918
1108939,2577674,-10.39720770839918
1108939,734866,-10.39720770839918
1108939,1229022,-10.39720770839918
1108939,7524279,-10.39720770839918
1108939,2732196,-10.39720770839918
1108939,173383,-10.39720770839918
1108939,173383,-10.39720770839918
1108939,146980,-10.39720770839918
1108939,8469497,-10.39720770839918
1108939,7204199,-10.39720770839918
1108939,7491451,-10.39720770839918
1108939,4926767,-10.39720770839918
1108939,1052221,-10.39720770839918
1108939,1188468,-10.39720770839918
1108939,1188468,-10.39720770839918
1108939,1188468,-10.39720770839918
1108939,3538985,-10.39720770839918
1108939,5303285,-10.39720770839918
1108939,5389975,-10.39720770839918
1108939,4711239,-10.39720770839918
1108939,6558602,-10.39720770839918
1108939,6684793,-10.39720770839918
1108939,7984122,-10.39720770839918
1108939,6985421,-10.39720770839918
1108939,2161219,-10.39720770839918
1108939,8137674,-10.39720770839918
1108939,8137674,-10.39720770839918
1108939,8137674,-10.39720770839918
1108939,8285817,-10.39720770839918
1108939,8079047,-10.39720770839918
1108939,8137192,-10.39720770839918
1108939,2092748,-10.39720770839918
1108939,953836,-10.39720770839918
1108939,974759,-10.39720770839918
1108939,7603657,-10.39720770839918
1108939,8167862,-10.39720770839918
1108939,4600699,-10.39720770839918
1108939,789367,-10.39720770839918
1108939,8630525,-10.627522209971463
1108939,8630519,-10.627522209971463
1108939,1631702,-10.819778284410283
1108939,1219407,-10.819778284410283
1108939,7843939,-10.819778284410283
1108939,7843939,-10.819778284410283
1108939,7843939,-10.819778284410283
